state,date,sex,ethnicity,abs,population
Johor,1/1/2000,both,overall,12144,
Johor,1/1/2001,both,overall,12730,
Johor,1/1/2002,both,overall,13459,
Johor,1/1/2003,both,overall,13671,
Johor,1/1/2004,both,overall,13842,
Johor,1/1/2005,both,overall,14152,
Johor,1/1/2006,both,overall,14546,
Johor,1/1/2007,both,overall,15165,
Johor,1/1/2008,both,overall,15926,
Johor,1/1/2009,both,overall,15971,
Johor,1/1/2010,both,overall,16060,
Johor,1/1/2011,both,overall,16479,
Johor,1/1/2012,both,overall,17201,
Johor,1/1/2013,both,overall,17696,
Johor,1/1/2014,both,overall,17904,
Johor,1/1/2015,both,overall,18853,
Johor,1/1/2016,both,overall,19924,
Johor,1/1/2017,both,overall,20662,
Johor,1/1/2018,both,overall,21117,
Johor,1/1/2019,both,overall,21799,
Johor,1/1/2020,both,overall,20646,
Johor,1/1/2021,both,overall,26951,
Johor,1/1/2022,both,overall,25305,4028.3
Johor,1/1/2023,both,overall,24705,4107.2
Kedah,1/1/2000,both,overall,8982,
Kedah,1/1/2001,both,overall,9197,
Kedah,1/1/2002,both,overall,9925,
Kedah,1/1/2003,both,overall,10311,
Kedah,1/1/2004,both,overall,10095,
Kedah,1/1/2005,both,overall,10280,
Kedah,1/1/2006,both,overall,10698,
Kedah,1/1/2007,both,overall,10847,
Kedah,1/1/2008,both,overall,11071,
Kedah,1/1/2009,both,overall,11618,
Kedah,1/1/2010,both,overall,11674,
Kedah,1/1/2011,both,overall,11869,
Kedah,1/1/2012,both,overall,12268,
Kedah,1/1/2013,both,overall,12516,
Kedah,1/1/2014,both,overall,13017,
Kedah,1/1/2015,both,overall,13674,
Kedah,1/1/2016,both,overall,13771,
Kedah,1/1/2017,both,overall,14332,
Kedah,1/1/2018,both,overall,14552,
Kedah,1/1/2019,both,overall,14302,
Kedah,1/1/2020,both,overall,13671,
Kedah,1/1/2021,both,overall,18457,
Kedah,1/1/2022,both,overall,17628,2163.1
Kedah,1/1/2023,both,overall,16643,2189.3
Kelantan,1/1/2000,both,overall,7620,
Kelantan,1/1/2001,both,overall,7797,
Kelantan,1/1/2002,both,overall,8330,
Kelantan,1/1/2003,both,overall,8614,
Kelantan,1/1/2004,both,overall,8547,
Kelantan,1/1/2005,both,overall,8834,
Kelantan,1/1/2006,both,overall,8940,
Kelantan,1/1/2007,both,overall,9186,
Kelantan,1/1/2008,both,overall,9694,
Kelantan,1/1/2009,both,overall,10114,
Kelantan,1/1/2010,both,overall,9798,
Kelantan,1/1/2011,both,overall,10024,
Kelantan,1/1/2012,both,overall,9890,
Kelantan,1/1/2013,both,overall,10042,
Kelantan,1/1/2014,both,overall,10588,
Kelantan,1/1/2015,both,overall,10789,
Kelantan,1/1/2016,both,overall,10809,
Kelantan,1/1/2017,both,overall,11203,
Kelantan,1/1/2018,both,overall,11316,
Kelantan,1/1/2019,both,overall,11410,
Kelantan,1/1/2020,both,overall,10928,
Kelantan,1/1/2021,both,overall,13926,
Kelantan,1/1/2022,both,overall,13445,1830.6
Kelantan,1/1/2023,both,overall,11839,1859.8
Malacca,1/1/2000,both,overall,3725,
Malacca,1/1/2001,both,overall,3799,
Malacca,1/1/2002,both,overall,3966,
Malacca,1/1/2003,both,overall,3964,
Malacca,1/1/2004,both,overall,4070,
Malacca,1/1/2005,both,overall,4140,
Malacca,1/1/2006,both,overall,4146,
Malacca,1/1/2007,both,overall,4145,
Malacca,1/1/2008,both,overall,4381,
Malacca,1/1/2009,both,overall,4472,
Malacca,1/1/2010,both,overall,4481,
Malacca,1/1/2011,both,overall,4606,
Malacca,1/1/2012,both,overall,4575,
Malacca,1/1/2013,both,overall,4747,
Malacca,1/1/2014,both,overall,4728,
Malacca,1/1/2015,both,overall,4959,
Malacca,1/1/2016,both,overall,5186,
Malacca,1/1/2017,both,overall,5523,
Malacca,1/1/2018,both,overall,5407,
Malacca,1/1/2019,both,overall,5547,
Malacca,1/1/2020,both,overall,5444,
Malacca,1/1/2021,both,overall,7083,
Malacca,1/1/2022,both,overall,6630,1008.6
Malacca,1/1/2023,both,overall,6190,1028.3
Negeri Sembilan,1/1/2000,both,overall,4540,
Negeri Sembilan,1/1/2001,both,overall,4724,
Negeri Sembilan,1/1/2002,both,overall,5051,
Negeri Sembilan,1/1/2003,both,overall,5038,
Negeri Sembilan,1/1/2004,both,overall,5067,
Negeri Sembilan,1/1/2005,both,overall,5163,
Negeri Sembilan,1/1/2006,both,overall,5204,
Negeri Sembilan,1/1/2007,both,overall,5181,
Negeri Sembilan,1/1/2008,both,overall,5740,
Negeri Sembilan,1/1/2009,both,overall,5832,
Negeri Sembilan,1/1/2010,both,overall,5814,
Negeri Sembilan,1/1/2011,both,overall,5885,
Negeri Sembilan,1/1/2012,both,overall,5895,
Negeri Sembilan,1/1/2013,both,overall,6213,
Negeri Sembilan,1/1/2014,both,overall,6410,
Negeri Sembilan,1/1/2015,both,overall,6611,
Negeri Sembilan,1/1/2016,both,overall,6810,
Negeri Sembilan,1/1/2017,both,overall,7111,
Negeri Sembilan,1/1/2018,both,overall,7298,
Negeri Sembilan,1/1/2019,both,overall,7168,
Negeri Sembilan,1/1/2020,both,overall,7011,
Negeri Sembilan,1/1/2021,both,overall,9165,
Negeri Sembilan,1/1/2022,both,overall,8636,1207.9
Negeri Sembilan,1/1/2023,both,overall,8232,1224.9
Pahang,1/1/2000,both,overall,5507,
Pahang,1/1/2001,both,overall,5741,
Pahang,1/1/2002,both,overall,6297,
Pahang,1/1/2003,both,overall,6291,
Pahang,1/1/2004,both,overall,6275,
Pahang,1/1/2005,both,overall,6499,
Pahang,1/1/2006,both,overall,6670,
Pahang,1/1/2007,both,overall,6742,
Pahang,1/1/2008,both,overall,7100,
Pahang,1/1/2009,both,overall,7428,
Pahang,1/1/2010,both,overall,7722,
Pahang,1/1/2011,both,overall,7812,
Pahang,1/1/2012,both,overall,7791,
Pahang,1/1/2013,both,overall,8146,
Pahang,1/1/2014,both,overall,8301,
Pahang,1/1/2015,both,overall,8471,
Pahang,1/1/2016,both,overall,8878,
Pahang,1/1/2017,both,overall,9261,
Pahang,1/1/2018,both,overall,9246,
Pahang,1/1/2019,both,overall,9179,
Pahang,1/1/2020,both,overall,8686,
Pahang,1/1/2021,both,overall,10366,
Pahang,1/1/2022,both,overall,11022,1614.3
Pahang,1/1/2023,both,overall,10508,1643.2
Perak,1/1/2000,both,overall,13194,
Perak,1/1/2001,both,overall,13577,
Perak,1/1/2002,both,overall,14345,
Perak,1/1/2003,both,overall,14561,
Perak,1/1/2004,both,overall,14401,
Perak,1/1/2005,both,overall,14348,
Perak,1/1/2006,both,overall,14429,
Perak,1/1/2007,both,overall,14913,
Perak,1/1/2008,both,overall,15395,
Perak,1/1/2009,both,overall,15741,
Perak,1/1/2010,both,overall,15440,
Perak,1/1/2011,both,overall,16012,
Perak,1/1/2012,both,overall,16395,
Perak,1/1/2013,both,overall,16386,
Perak,1/1/2014,both,overall,16925,
Perak,1/1/2015,both,overall,17159,
Perak,1/1/2016,both,overall,17820,
Perak,1/1/2017,both,overall,18047,
Perak,1/1/2018,both,overall,18600,
Perak,1/1/2019,both,overall,18740,
Perak,1/1/2020,both,overall,17946,
Perak,1/1/2021,both,overall,21303,
Perak,1/1/2022,both,overall,22341,2514.4
Perak,1/1/2023,both,overall,20839,2541.2
Perlis,1/1/2000,both,overall,1307,
Perlis,1/1/2001,both,overall,1335,
Perlis,1/1/2002,both,overall,1378,
Perlis,1/1/2003,both,overall,1416,
Perlis,1/1/2004,both,overall,1426,
Perlis,1/1/2005,both,overall,1452,
Perlis,1/1/2006,both,overall,1462,
Perlis,1/1/2007,both,overall,1491,
Perlis,1/1/2008,both,overall,1618,
Perlis,1/1/2009,both,overall,1580,
Perlis,1/1/2010,both,overall,1683,
Perlis,1/1/2011,both,overall,1637,
Perlis,1/1/2012,both,overall,1655,
Perlis,1/1/2013,both,overall,1741,
Perlis,1/1/2014,both,overall,1671,
Perlis,1/1/2015,both,overall,1767,
Perlis,1/1/2016,both,overall,1884,
Perlis,1/1/2017,both,overall,2004,
Perlis,1/1/2018,both,overall,2042,
Perlis,1/1/2019,both,overall,1996,
Perlis,1/1/2020,both,overall,1950,
Perlis,1/1/2021,both,overall,2234,
Perlis,1/1/2022,both,overall,2422,289.8
Perlis,1/1/2023,both,overall,2171,293.1
Penang,1/1/2000,both,overall,7037,
Penang,1/1/2001,both,overall,7162,
Penang,1/1/2002,both,overall,7703,
Penang,1/1/2003,both,overall,7781,
Penang,1/1/2004,both,overall,7813,
Penang,1/1/2005,both,overall,7869,
Penang,1/1/2006,both,overall,7918,
Penang,1/1/2007,both,overall,8316,
Penang,1/1/2008,both,overall,8471,
Penang,1/1/2009,both,overall,8699,
Penang,1/1/2010,both,overall,9063,
Penang,1/1/2011,both,overall,9107,
Penang,1/1/2012,both,overall,9133,
Penang,1/1/2013,both,overall,9538,
Penang,1/1/2014,both,overall,9678,
Penang,1/1/2015,both,overall,10226,
Penang,1/1/2016,both,overall,10729,
Penang,1/1/2017,both,overall,10727,
Penang,1/1/2018,both,overall,11209,
Penang,1/1/2019,both,overall,10896,
Penang,1/1/2020,both,overall,10701,
Penang,1/1/2021,both,overall,13978,
Penang,1/1/2022,both,overall,12920,1740.9
Penang,1/1/2023,both,overall,12304,1772.6
Sabah,1/1/2000,both,overall,5203,
Sabah,1/1/2001,both,overall,5437,
Sabah,1/1/2002,both,overall,5864,
Sabah,1/1/2003,both,overall,6061,
Sabah,1/1/2004,both,overall,6328,
Sabah,1/1/2005,both,overall,6563,
Sabah,1/1/2006,both,overall,6702,
Sabah,1/1/2007,both,overall,6979,
Sabah,1/1/2008,both,overall,7394,
Sabah,1/1/2009,both,overall,7565,
Sabah,1/1/2010,both,overall,7622,
Sabah,1/1/2011,both,overall,8095,
Sabah,1/1/2012,both,overall,8066,
Sabah,1/1/2013,both,overall,8253,
Sabah,1/1/2014,both,overall,12188,
Sabah,1/1/2015,both,overall,12511,
Sabah,1/1/2016,both,overall,12834,
Sabah,1/1/2017,both,overall,13719,
Sabah,1/1/2018,both,overall,13940,
Sabah,1/1/2019,both,overall,14713,
Sabah,1/1/2020,both,overall,14868,
Sabah,1/1/2021,both,overall,18873,
Sabah,1/1/2022,both,overall,17395,3414.9
Sabah,1/1/2023,both,overall,16610,3596.7
Sarawak,1/1/2000,both,overall,8513,
Sarawak,1/1/2001,both,overall,8893,
Sarawak,1/1/2002,both,overall,8818,
Sarawak,1/1/2003,both,overall,9287,
Sarawak,1/1/2004,both,overall,9506,
Sarawak,1/1/2005,both,overall,9553,
Sarawak,1/1/2006,both,overall,9962,
Sarawak,1/1/2007,both,overall,10020,
Sarawak,1/1/2008,both,overall,10478,
Sarawak,1/1/2009,both,overall,11240,
Sarawak,1/1/2010,both,overall,10396,
Sarawak,1/1/2011,both,overall,11118,
Sarawak,1/1/2012,both,overall,11246,
Sarawak,1/1/2013,both,overall,11231,
Sarawak,1/1/2014,both,overall,11686,
Sarawak,1/1/2015,both,overall,12200,
Sarawak,1/1/2016,both,overall,12608,
Sarawak,1/1/2017,both,overall,13117,
Sarawak,1/1/2018,both,overall,13828,
Sarawak,1/1/2019,both,overall,14025,
Sarawak,1/1/2020,both,overall,14114,
Sarawak,1/1/2021,both,overall,17596,
Sarawak,1/1/2022,both,overall,16627,2473.5
Sarawak,1/1/2023,both,overall,16158,2502.3
Selangor,1/1/2000,both,overall,12706,
Selangor,1/1/2001,both,overall,13368,
Selangor,1/1/2002,both,overall,13922,
Selangor,1/1/2003,both,overall,14295,
Selangor,1/1/2004,both,overall,14616,
Selangor,1/1/2005,both,overall,15371,
Selangor,1/1/2006,both,overall,15695,
Selangor,1/1/2007,both,overall,15903,
Selangor,1/1/2008,both,overall,17649,
Selangor,1/1/2009,both,overall,18373,
Selangor,1/1/2010,both,overall,18558,
Selangor,1/1/2011,both,overall,19352,
Selangor,1/1/2012,both,overall,21020,
Selangor,1/1/2013,both,overall,21677,
Selangor,1/1/2014,both,overall,22647,
Selangor,1/1/2015,both,overall,23804,
Selangor,1/1/2016,both,overall,25588,
Selangor,1/1/2017,both,overall,26733,
Selangor,1/1/2018,both,overall,27387,
Selangor,1/1/2019,both,overall,27786,
Selangor,1/1/2020,both,overall,25405,
Selangor,1/1/2021,both,overall,42051,
Selangor,1/1/2022,both,overall,32861,7050.3
Selangor,1/1/2023,both,overall,32646,7209.7
Terengganu,1/1/2000,both,overall,4570,
Terengganu,1/1/2001,both,overall,4866,
Terengganu,1/1/2002,both,overall,5051,
Terengganu,1/1/2003,both,overall,5346,
Terengganu,1/1/2004,both,overall,5244,
Terengganu,1/1/2005,both,overall,5368,
Terengganu,1/1/2006,both,overall,5407,
Terengganu,1/1/2007,both,overall,5563,
Terengganu,1/1/2008,both,overall,5774,
Terengganu,1/1/2009,both,overall,5978,
Terengganu,1/1/2010,both,overall,5864,
Terengganu,1/1/2011,both,overall,6209,
Terengganu,1/1/2012,both,overall,6177,
Terengganu,1/1/2013,both,overall,6424,
Terengganu,1/1/2014,both,overall,6460,
Terengganu,1/1/2015,both,overall,6715,
Terengganu,1/1/2016,both,overall,6843,
Terengganu,1/1/2017,both,overall,7048,
Terengganu,1/1/2018,both,overall,7099,
Terengganu,1/1/2019,both,overall,7341,
Terengganu,1/1/2020,both,overall,6736,
Terengganu,1/1/2021,both,overall,8469,
Terengganu,1/1/2022,both,overall,8686,1186.6
Terengganu,1/1/2023,both,overall,7857,1210
Kuala Lumpur,1/1/2000,both,overall,5492,
Kuala Lumpur,1/1/2001,both,overall,5746,
Kuala Lumpur,1/1/2002,both,overall,6058,
Kuala Lumpur,1/1/2003,both,overall,5888,
Kuala Lumpur,1/1/2004,both,overall,5750,
Kuala Lumpur,1/1/2005,both,overall,5635,
Kuala Lumpur,1/1/2006,both,overall,5791,
Kuala Lumpur,1/1/2007,both,overall,6015,
Kuala Lumpur,1/1/2008,both,overall,6164,
Kuala Lumpur,1/1/2009,both,overall,6470,
Kuala Lumpur,1/1/2010,both,overall,6465,
Kuala Lumpur,1/1/2011,both,overall,6927,
Kuala Lumpur,1/1/2012,both,overall,6996,
Kuala Lumpur,1/1/2013,both,overall,7183,
Kuala Lumpur,1/1/2014,both,overall,7647,
Kuala Lumpur,1/1/2015,both,overall,7608,
Kuala Lumpur,1/1/2016,both,overall,8077,
Kuala Lumpur,1/1/2017,both,overall,8205,
Kuala Lumpur,1/1/2018,both,overall,8485,
Kuala Lumpur,1/1/2019,both,overall,8845,
Kuala Lumpur,1/1/2020,both,overall,8334,
Kuala Lumpur,1/1/2021,both,overall,13334,
Kuala Lumpur,1/1/2022,both,overall,9962,1961.2
Kuala Lumpur,1/1/2023,both,overall,9646,2005.7
Labuan,1/1/2000,both,overall,167,
Labuan,1/1/2001,both,overall,159,
Labuan,1/1/2002,both,overall,200,
Labuan,1/1/2003,both,overall,220,
Labuan,1/1/2004,both,overall,212,
Labuan,1/1/2005,both,overall,209,
Labuan,1/1/2006,both,overall,208,
Labuan,1/1/2007,both,overall,204,
Labuan,1/1/2008,both,overall,243,
Labuan,1/1/2009,both,overall,247,
Labuan,1/1/2010,both,overall,243,
Labuan,1/1/2011,both,overall,218,
Labuan,1/1/2012,both,overall,242,
Labuan,1/1/2013,both,overall,245,
Labuan,1/1/2014,both,overall,274,
Labuan,1/1/2015,both,overall,246,
Labuan,1/1/2016,both,overall,277,
Labuan,1/1/2017,both,overall,247,
Labuan,1/1/2018,both,overall,287,
Labuan,1/1/2019,both,overall,298,
Labuan,1/1/2020,both,overall,319,
Labuan,1/1/2021,both,overall,517,
Labuan,1/1/2022,both,overall,392,96.9
Labuan,1/1/2023,both,overall,333,99
Putrajaya,1/1/2010,both,overall,95,
Putrajaya,1/1/2011,both,overall,113,
Putrajaya,1/1/2012,both,overall,142,
Putrajaya,1/1/2013,both,overall,164,
Putrajaya,1/1/2014,both,overall,194,
Putrajaya,1/1/2015,both,overall,193,
Putrajaya,1/1/2016,both,overall,163,
Putrajaya,1/1/2017,both,overall,229,
Putrajaya,1/1/2018,both,overall,218,
Putrajaya,1/1/2019,both,overall,209,
Putrajaya,1/1/2020,both,overall,211,
Putrajaya,1/1/2021,both,overall,266,
Putrajaya,1/1/2022,both,overall,253,117
Putrajaya,1/1/2023,both,overall,284,118.8
